ORDER,CLUSTER,DOMAIN,TOKEN,R,ROC_AUC
3,6,COGNITIVE,strategy,0.09081377696722673,0.6102005999742882
3,6,COGNITIVE,reward_anticipation,0.08897574974975142,0.6102005999742882
3,6,COGNITIVE,response_selection,0.08778562467048412,0.6102005999742882
3,6,COGNITIVE,context,0.08762500860284164,0.6102005999742882
3,6,COGNITIVE,goal,0.08655154910722336,0.6102005999742882
3,6,COGNITIVE,decision,0.08649225368460736,0.6102005999742882
3,6,COGNITIVE,pain,0.08302102096520632,0.6102005999742882
3,6,COGNITIVE,cognitive_process,0.08208242464690071,0.6102005999742882
3,6,COGNITIVE,manipulation,0.08018985567156373,0.6102005999742882
3,6,COGNITIVE,performance_monitoring,0.07903767651388315,0.6102005999742882
3,6,COGNITIVE,cognitive,0.07646608800616349,0.6102005999742882
3,6,COGNITIVE,retrieval,0.07629489403852219,0.6102005999742882
4,3,MOVEMENT,motor_control,0.1165704985280106,0.5914764051929144
4,3,MOVEMENT,ataxia,0.0968824475181894,0.5914764051929144
4,3,MOVEMENT,motor_learning,0.09530643720485027,0.5914764051929144
4,3,MOVEMENT,movement,0.08926773135652191,0.5914764051929144
4,3,MOVEMENT,coordination,0.08427897530152176,0.5914764051929144
5,2,VISION,execution,0.13485251561062633,0.6217413055866632
5,2,VISION,covert,0.1277754038289833,0.6217413055866632
5,2,VISION,manipulation,0.12505667005208088,0.6217413055866632
5,2,VISION,vision,0.12372612516499425,0.6217413055866632
5,2,VISION,spatial_attention,0.12359831567067403,0.6217413055866632
5,2,VISION,representation,0.1201389553328358,0.6217413055866632
5,2,VISION,visual_attention,0.11838365297241955,0.6217413055866632
5,2,VISION,retrieval,0.11415165208859472,0.6217413055866632
5,2,VISION,attention,0.11405863757560848,0.6217413055866632
5,2,VISION,eye,0.11252200727112864,0.6217413055866632
5,2,VISION,reaction_time,0.1114229792141848,0.6217413055866632
5,2,VISION,grasping,0.10905643302809356,0.6217413055866632
5,2,VISION,strategy,0.10630462598066236,0.6217413055866632
5,2,VISION,hand,0.10628648445257713,0.6217413055866632
5,2,VISION,rehearsal,0.10329368295676412,0.6217413055866632
5,2,VISION,visual_imagery,0.10292057600102993,0.6217413055866632
5,2,VISION,imagery,0.1028543949269856,0.6217413055866632
5,2,VISION,action,0.10247847728302822,0.6217413055866632
5,2,VISION,familiarity,0.1016862136375768,0.6217413055866632
5,2,VISION,goal,0.09931237375278433,0.6217413055866632
5,2,VISION,memory,0.0983429589119415,0.6217413055866632
5,2,VISION,imagination,0.09749814232219664,0.6217413055866632
5,2,VISION,visual_angle,0.09660222036419276,0.6217413055866632
5,2,VISION,intention,0.09576171598946026,0.6217413055866632
5,2,VISION,grasp,0.09508932457139624,0.6217413055866632
6,1,HEARING,speech,0.2490599801219003,0.6564888143815277
6,1,HEARING,hearing,0.2389018541545655,0.6564888143815277
6,1,HEARING,listening,0.233502212161118,0.6564888143815277
6,1,HEARING,speech_perception,0.2227765484452818,0.6564888143815277
6,1,HEARING,speech_processing,0.2203378381459752,0.6564888143815277
